Fuel;Trash;Weather;Day;Season;Dist_House;Dist_Station;Weight;Decision
HIGH;LOW;RAINY;Friday;SUMMER;MEDIUM;FAR;MEDIUM;HOUSE
CRITICAL;FULL;SNOWY;Friday;WINTER;MEDIUM;NEAR;MEDIUM;STATION
HIGH;EMPTY;SUNNY;Monday;SUMMER;MEDIUM;FAR;MEDIUM;HOUSE
MEDIUM;FULL;SUNNY;Tuesday;AUTUMN;MEDIUM;FAR;MEDIUM;DUMP
MEDIUM;FULL;SUNNY;Monday;SUMMER;NEAR;MEDIUM;MEDIUM;DUMP
CRITICAL;MEDIUM;RAINY;Tuesday;SPRING;MEDIUM;MEDIUM;SMALL;STATION
MEDIUM;FULL;SNOWY;Thursday;WINTER;MEDIUM;FAR;LARGE;DUMP
HIGH;LOW;RAINY;Saturday;AUTUMN;NEAR;NEAR;MEDIUM;HOUSE
HIGH;MEDIUM;SUNNY;Tuesday;SUMMER;NEAR;NEAR;SMALL;HOUSE
MEDIUM;FULL;RAINY;Wednesday;SPRING;NEAR;MEDIUM;SMALL;DUMP
HIGH;FULL;SNOWY;Thursday;WINTER;NEAR;NEAR;LARGE;DUMP
HIGH;EMPTY;SNOWY;Monday;WINTER;NEAR;NEAR;MEDIUM;HOUSE
HIGH;MEDIUM;SUNNY;Monday;SPRING;MEDIUM;FAR;SMALL;HOUSE
HIGH;MEDIUM;SUNNY;Friday;SPRING;NEAR;NEAR;SMALL;HOUSE
CRITICAL;MEDIUM;SUNNY;Friday;SPRING;MEDIUM;NEAR;SMALL;STATION
HIGH;MEDIUM;SUNNY;Monday;SPRING;NEAR;NEAR;SMALL;HOUSE
CRITICAL;MEDIUM;RAINY;Friday;SUMMER;NEAR;MEDIUM;SMALL;STATION
MEDIUM;LOW;SUNNY;Monday;SUMMER;NEAR;MEDIUM;SMALL;HOUSE
MEDIUM;FULL;SNOWY;Saturday;WINTER;NEAR;MEDIUM;MEDIUM;DUMP
CRITICAL;FULL;SUNNY;Wednesday;SUMMER;MEDIUM;MEDIUM;MEDIUM;STATION
LOW;FULL;SNOWY;Tuesday;WINTER;NEAR;MEDIUM;MEDIUM;STATION
MEDIUM;FULL;SUNNY;Tuesday;SUMMER;NEAR;MEDIUM;SMALL;DUMP
MEDIUM;MEDIUM;RAINY;Wednesday;AUTUMN;NEAR;MEDIUM;MEDIUM;HOUSE
HIGH;FULL;SUNNY;Thursday;SUMMER;MEDIUM;FAR;MEDIUM;DUMP
LOW;LOW;SUNNY;Friday;AUTUMN;MEDIUM;FAR;MEDIUM;STATION
CRITICAL;FULL;RAINY;Tuesday;SPRING;NEAR;MEDIUM;SMALL;STATION
CRITICAL;MEDIUM;RAINY;Saturday;SPRING;NEAR;MEDIUM;SMALL;STATION
MEDIUM;FULL;RAINY;Thursday;AUTUMN;NEAR;MEDIUM;SMALL;DUMP
CRITICAL;MEDIUM;SUNNY;Monday;SUMMER;NEAR;MEDIUM;SMALL;STATION
HIGH;FULL;RAINY;Wednesday;AUTUMN;NEAR;NEAR;MEDIUM;DUMP
LOW;LOW;SUNNY;Tuesday;SUMMER;NEAR;FAR;SMALL;STATION
CRITICAL;MEDIUM;RAINY;Saturday;SPRING;MEDIUM;MEDIUM;MEDIUM;STATION
CRITICAL;FULL;RAINY;Saturday;AUTUMN;NEAR;NEAR;MEDIUM;STATION
LOW;FULL;SUNNY;Wednesday;SUMMER;MEDIUM;FAR;MEDIUM;STATION
MEDIUM;LOW;SUNNY;Tuesday;AUTUMN;NEAR;FAR;MEDIUM;HOUSE
HIGH;FULL;RAINY;Saturday;AUTUMN;NEAR;NEAR;MEDIUM;DUMP
LOW;FULL;SNOWY;Friday;WINTER;NEAR;MEDIUM;MEDIUM;STATION
HIGH;FULL;SUNNY;Tuesday;AUTUMN;NEAR;MEDIUM;MEDIUM;DUMP
HIGH;MEDIUM;SUNNY;Friday;SPRING;NEAR;NEAR;SMALL;HOUSE
MEDIUM;FULL;SNOWY;Saturday;WINTER;NEAR;MEDIUM;MEDIUM;DUMP
HIGH;FULL;SNOWY;Tuesday;WINTER;NEAR;NEAR;MEDIUM;DUMP
HIGH;MEDIUM;SUNNY;Friday;AUTUMN;NEAR;MEDIUM;SMALL;HOUSE
CRITICAL;MEDIUM;RAINY;Wednesday;AUTUMN;NEAR;MEDIUM;SMALL;STATION
HIGH;FULL;SNOWY;Wednesday;WINTER;MEDIUM;NEAR;MEDIUM;DUMP
CRITICAL;MEDIUM;SUNNY;Friday;SPRING;MEDIUM;MEDIUM;SMALL;STATION
HIGH;FULL;SNOWY;Thursday;WINTER;NEAR;NEAR;LARGE;DUMP
CRITICAL;MEDIUM;SUNNY;Saturday;SUMMER;NEAR;MEDIUM;SMALL;STATION
CRITICAL;MEDIUM;SUNNY;Monday;SUMMER;NEAR;MEDIUM;MEDIUM;STATION
MEDIUM;LOW;RAINY;Wednesday;SPRING;NEAR;MEDIUM;SMALL;HOUSE
HIGH;MEDIUM;SUNNY;Wednesday;SUMMER;NEAR;MEDIUM;SMALL;HOUSE
MEDIUM;FULL;SUNNY;Monday;SUMMER;MEDIUM;FAR;MEDIUM;DUMP
HIGH;LOW;SUNNY;Wednesday;SUMMER;MEDIUM;FAR;MEDIUM;HOUSE
CRITICAL;LOW;RAINY;Wednesday;SPRING;NEAR;NEAR;SMALL;STATION
MEDIUM;FULL;SUNNY;Saturday;SUMMER;NEAR;MEDIUM;SMALL;DUMP
CRITICAL;LOW;SUNNY;Wednesday;SUMMER;NEAR;MEDIUM;MEDIUM;STATION
